work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_size
2024,SE,Data Analyst,125000,0,M
2024,SE,Data Scientist,150000,0,M
2024,SE,Data Scientist,110000,0,M
2024,SE,Data Analyst,245400,100,M
2024,SE,Data Analyst,135800,100,M
2024,SE,Machine Learning Engineer,220000,0,M
2024,SE,Machine Learning Engineer,280000,100,M
2024,SE,Machine Learning Engineer,184000,100,M
2024,MI,Data Analyst,174000,0,M
2024,MI,Data Analyst,132000,0,M
2024,SE,Machine Learning Engineer,200000,0,M
2024,SE,Machine Learning Engineer,160000,0,M
2024,SE,Data Scientist,150000,0,M
2024,SE,Data Scientist,111000,0,M
2024,SE,Machine Learning Engineer,280000,100,M
2024,SE,Machine Learning Engineer,184000,100,M
2024,MI,Data Engineer,179500,0,M
2024,MI,Data Engineer,149500,0,M
2024,SE,Data Scientist,190000,0,M
2024,SE,Data Scientist,148000,0,M
2024,SE,Data Engineer,190000,100,M
2024,SE,Data Engineer,105301,100,M
2024,SE,Data Scientist,180000,0,M
2024,SE,Data Scientist,139000,0,M
2024,SE,Machine Learning Engineer,252000,0,M
2024,SE,Machine Learning Engineer,168000,0,M
2024,MI,Data Engineer,85000,0,M
2024,MI,Data Engineer,74880,0,M
2024,SE,Machine Learning Engineer,260000,0,M
2024,SE,Machine Learning Engineer,160000,0,M
2024,SE,Data Engineer,190000,100,M
2024,SE,Data Engineer,150000,100,M
2024,MI,Data Engineer,125000,100,M
2024,MI,Data Engineer,100000,100,M
2024,MI,Data Engineer,184000,0,M
2024,MI,Data Engineer,123000,0,M
2024,MI,Data Scientist,159550,0,M
2024,MI,Data Scientist,113000,0,M
2024,MI,Data Scientist,121500,100,M
2024,MI,Data Scientist,88200,100,M
2024,SE,Data Scientist,195800,0,M
2024,SE,Data Scientist,161900,0,M
2024,SE,Data Analyst,142166,0,M
2024,SE,Data Analyst,88854,0,M
2024,SE,Data Engineer,200000,100,M
2024,SE,Data Engineer,96000,100,M
2024,SE,Data Engineer,220000,0,M
2024,SE,Data Engineer,96600,0,M
2024,SE,Data Engineer,195500,0,M
2024,SE,Data Engineer,117300,0,M
2024,SE,Data Engineer,156000,0,M
2024,SE,Data Engineer,124000,0,M
2024,SE,Data Engineer,142500,0,M
2024,SE,Data Engineer,90000,0,M
2024,MI,Data Scientist,176000,100,M
2024,MI,Data Scientist,72700,100,M
2024,MI,Data Engineer,132600,0,M
2024,MI,Data Engineer,80845,0,M
2024,SE,Data Scientist,230800,100,M
2024,SE,Data Scientist,96200,100,M
2024,SE,Data Engineer,277000,0,M
2024,SE,Data Engineer,173000,0,M
2024,MI,Data Engineer,175000,0,M
2024,MI,Data Engineer,117000,0,M
2024,SE,Data Analyst,170000,0,M
2024,SE,Data Analyst,130000,0,M
2024,MI,Data Scientist,172000,0,M
2024,MI,Data Scientist,75600,0,M
2024,MI,Data Engineer,148000,0,M
2024,MI,Data Engineer,118000,0,M
2024,SE,Data Engineer,149076,0,M
2024,SE,Data Engineer,82365,0,M
2024,SE,Data Engineer,160000,0,M
2024,SE,Data Engineer,120000,0,M
2024,SE,Data Engineer,160000,0,M
2024,SE,Data Engineer,115000,0,M
2024,MI,Data Engineer,193000,0,M
2024,MI,Data Engineer,128000,0,M
2024,SE,Machine Learning Engineer,189000,0,M
2024,SE,Machine Learning Engineer,136000,0,M
2024,SE,Machine Learning Engineer,150000,0,M
2024,SE,Machine Learning Engineer,90000,0,M
2024,MI,Machine Learning Engineer,208200,100,M
2024,MI,Machine Learning Engineer,124900,100,M
2024,SE,Data Engineer,150000,0,M
2024,SE,Data Engineer,130000,0,M
2024,SE,Machine Learning Engineer,189000,0,M
2024,SE,Machine Learning Engineer,160000,0,M
2024,SE,Data Engineer,255475,0,M
2024,SE,Data Engineer,185800,0,M
2024,SE,Data Engineer,220000,0,M
2024,SE,Data Engineer,170000,0,M
2024,SE,Machine Learning Engineer,220000,0,M
2024,SE,Machine Learning Engineer,170000,0,M
2024,SE,Data Analyst,113800,100,M
2024,SE,Data Analyst,74400,100,M
2024,SE,Machine Learning Engineer,260000,0,M
2024,MI,Data Scientist,180000,0,M
2024,MI,Data Scientist,140000,0,M
2024,SE,Machine Learning Engineer,252000,0,M
2024,SE,Machine Learning Engineer,181000,0,M
2024,SE,Data Scientist,210788,100,M
2024,SE,Data Analyst,147500,0,M
2024,SE,Data Analyst,85000,0,M
2024,SE,Data Engineer,200000,100,M
2024,SE,Data Engineer,90000,100,M
2024,SE,Data Engineer,179000,0,M
2024,SE,Data Engineer,112000,0,M
2024,SE,Machine Learning Engineer,206000,0,M
2024,SE,Machine Learning Engineer,97335,0,M
2024,MI,Machine Learning Engineer,223900,100,M
2024,MI,Machine Learning Engineer,140100,100,M
2024,SE,Data Analyst,207300,0,M
2024,SE,Data Analyst,114700,0,M
2024,SE,Data Scientist,265000,100,M
2024,SE,Data Scientist,220000,100,M
2024,SE,Machine Learning Engineer,151600,0,M
2024,SE,Data Scientist,167500,0,M
2024,SE,Data Scientist,138500,0,M
2024,MI,Data Scientist,194000,0,M
2024,MI,Data Scientist,125500,0,M
2024,SE,Data Engineer,194500,0,M
2024,SE,Data Engineer,147368,0,M
2024,MI,Data Engineer,165000,0,M
2024,MI,Data Engineer,117000,0,M
2024,SE,Data Analyst,170000,0,M
2024,SE,Data Analyst,148000,0,M
2024,SE,Data Scientist,167500,0,M
2024,SE,Data Scientist,138500,0,M
2024,SE,Data Analyst,106260,0,M
2024,SE,Data Analyst,82000,0,M
2024,MI,Data Scientist,105000,0,M
2024,MI,Data Scientist,90000,0,M
2024,SE,Data Scientist,170000,0,M
2024,SE,Data Scientist,140000,0,M
2024,MI,Data Scientist,170000,0,M
2024,MI,Data Scientist,145000,0,M
2024,SE,Data Engineer,233000,0,M
2024,SE,Data Engineer,140000,0,M
2024,SE,Data Analyst,202800,0,M
2024,SE,Data Analyst,108200,0,M
2024,SE,Data Scientist,214872,100,M
2024,SE,Data Scientist,186846,100,M
2024,SE,Data Engineer,145360,100,M
2024,SE,Data Engineer,107440,100,M
2024,MI,Data Engineer,181700,0,M
2024,MI,Data Engineer,64300,0,M
2024,MI,Data Engineer,185000,0,L
2024,MI,Data Engineer,81000,0,L
2024,SE,Data Scientist,150000,0,M
2024,SE,Data Scientist,110000,0,M
